longitude,latitude,t2m,R,G,B
44.90999984741211,0.9700000286102296,293.8023642424242,248,118,29
44.90999984741211,1.2200000286102295,293.6710933333334,248,118,29
44.90999984741211,1.4700000286102295,293.4972415151515,248,118,29
44.90999984741211,1.7200000286102295,292.85988636363635,241,197,55
44.90999984741211,1.9700000286102293,292.19089121212124,241,197,55
44.90999984741211,2.220000028610229,291.4940118181818,241,197,55
44.90999984741211,2.470000028610229,290.5021557575758,177,247,58
44.90999984741211,2.720000028610229,289.62836939393935,177,247,58
44.90999984741211,2.970000028610228,288.95761272727265,74,247,130
44.90999984741211,3.220000028610228,289.16115272727274,177,247,58
44.90999984741211,3.470000028610228,289.40838484848496,177,247,58
44.90999984741211,3.7200000286102295,289.3707712121212,177,247,58
44.90999984741211,3.9700000286102295,289.41314090909094,177,247,58
44.90999984741211,4.2199997901916495,289.9968778787878,177,247,58
44.90999984741211,4.46999979019165,291.8821681818182,241,197,55
44.90999984741211,4.71999979019165,293.8052896969698,248,118,29
44.90999984741211,4.96999979019165,293.98539454545465,248,118,29
44.90999984741211,5.21999979019165,292.41836030303034,241,197,55
44.90999984741211,5.46999979019165,290.7024281818181,177,247,58
44.90999984741211,5.71999979019165,288.88555212121213,74,247,130
44.90999984741211,5.96999979019165,287.1440130303031,74,247,130
44.90999984741211,6.21999979019165,285.16914212121213,32,204,213
44.90999984741211,6.46999979019165,283.85425757575763,68,132,245
44.90999984741211,6.71999979019165,284.16770060606063,68,132,245
44.90999984741211,6.96999979019165,286.3150875757576,32,204,213
44.90999984741211,7.21999979019165,289.4199351515152,177,247,58
44.90999984741211,7.46999979019165,293.817186969697,248,118,29
44.90999984741211,7.71999979019165,295.782169090909,203,46,5
44.90999984741211,7.96999979019165,296.46199333333334,203,46,5
44.90999984741211,8.220000267028809,295.92641272727275,203,46,5
44.90999984741211,8.470000267028809,296.5323703030303,203,46,5
44.90999984741211,8.720000267028809,296.99223303030305,203,46,5
44.90999984741211,8.970000267028809,296.2726887878788,203,46,5
44.90999984741211,9.220000267028807,295.4427421212122,203,46,5
44.90999984741211,9.470000267028807,295.13221060606065,203,46,5
44.90999984741211,9.720000267028807,295.79532848484854,203,46,5
44.90999984741211,9.970000267028807,296.81613454545464,203,46,5
44.90999984741211,10.220000267028807,297.1769490909091,122,4,3
44.90999984741211,10.470000267028807,297.55756727272734,122,4,3
44.90999984741211,10.720000267028807,297.7646469696969,122,4,3
44.90999984741211,10.970000267028807,298.2245390909091,122,4,3
44.90999984741211,11.220000267028807,298.39829999999995,122,4,3
44.90999984741211,11.470000267028807,298.4183027272729,122,4,3
44.90999984741211,11.720000267028807,298.3381924242424,122,4,3
44.90999984741211,11.970000267028807,298.30906242424254,122,4,3
45.15999984741211,0.9700000286102296,293.3076612121212,248,118,29
45.15999984741211,1.2200000286102295,293.20550909090906,248,118,29
45.15999984741211,1.4700000286102295,293.01482909090913,248,118,29
45.15999984741211,1.7200000286102295,292.3729978787879,241,197,55
45.15999984741211,1.9700000286102293,291.53666757575763,241,197,55
45.15999984741211,2.220000028610229,290.96587727272725,177,247,58
45.15999984741211,2.470000028610229,289.8040212121212,177,247,58
45.15999984741211,2.720000028610229,288.95056030303033,74,247,130
45.15999984741211,2.970000028610228,288.72195969696975,74,247,130
45.15999984741211,3.220000028610228,289.47864727272724,177,247,58
45.15999984741211,3.470000028610228,290.25528060606064,177,247,58
45.15999984741211,3.7200000286102295,290.260913030303,177,247,58
45.15999984741211,3.9700000286102295,290.21482151515136,177,247,58
45.15999984741211,4.2199997901916495,290.40173484848475,177,247,58
45.15999984741211,4.46999979019165,291.0932472727272,241,197,55
45.15999984741211,4.71999979019165,292.89944545454546,241,197,55
45.15999984741211,4.96999979019165,293.69156212121214,248,118,29
45.15999984741211,5.21999979019165,293.10791272727266,248,118,29
45.15999984741211,5.46999979019165,291.85956090909093,241,197,55
45.15999984741211,5.71999979019165,289.60031242424253,177,247,58
45.15999984741211,5.96999979019165,287.64243121212127,74,247,130
45.15999984741211,6.21999979019165,285.40124848484845,32,204,213
45.15999984741211,6.46999979019165,284.48565787878795,68,132,245
45.15999984741211,6.71999979019165,283.7154351515152,68,132,245
45.15999984741211,6.96999979019165,284.4877321212122,68,132,245
45.15999984741211,7.21999979019165,287.5789430303031,74,247,130
45.15999984741211,7.46999979019165,292.05206090909087,241,197,55
45.15999984741211,7.71999979019165,294.8567281818182,248,118,29
45.15999984741211,7.96999979019165,295.95374545454536,203,46,5
45.15999984741211,8.220000267028809,295.9981827272727,203,46,5
45.15999984741211,8.470000267028809,296.5727530303031,203,46,5
45.15999984741211,8.720000267028809,297.27602,122,4,3
45.15999984741211,8.970000267028809,297.3720045454546,122,4,3
45.15999984741211,9.220000267028807,297.24452848484844,122,4,3
45.15999984741211,9.470000267028807,297.14885151515153,122,4,3
45.15999984741211,9.720000267028807,297.34314696969693,122,4,3
45.15999984741211,9.970000267028807,297.56533727272733,122,4,3
45.15999984741211,10.220000267028807,297.72582727272726,122,4,3
45.15999984741211,10.470000267028807,297.7937703030303,122,4,3
45.15999984741211,10.720000267028807,297.8180754545455,122,4,3
45.15999984741211,10.970000267028807,297.95709848484853,122,4,3
45.15999984741211,11.220000267028807,297.94577030303026,122,4,3
45.15999984741211,11.470000267028807,298.1558087878788,122,4,3
45.15999984741211,11.720000267028807,298.01176303030314,122,4,3
45.15999984741211,11.970000267028807,297.833423939394,122,4,3
45.40999984741211,0.9700000286102296,292.7275596969697,241,197,55
45.40999984741211,1.2200000286102295,292.51929303030306,241,197,55
45.40999984741211,1.4700000286102295,292.29312060606065,241,197,55
45.40999984741211,1.7200000286102295,291.6346851515152,241,197,55
45.40999984741211,1.9700000286102293,290.96574454545464,177,247,58
45.40999984741211,2.220000028610229,290.6620378787878,177,247,58
45.40999984741211,2.470000028610229,289.5310803030303,177,247,58
45.40999984741211,2.720000028610229,289.25137757575766,177,247,58
45.40999984741211,2.970000028610228,289.2068887878788,177,247,58
45.40999984741211,3.220000028610228,290.2560709090909,177,247,58
45.40999984741211,3.470000028610228,290.67000666666667,177,247,58
45.40999984741211,3.7200000286102295,290.53064363636366,177,247,58
45.40999984741211,3.9700000286102295,290.65356545454546,177,247,58
45.40999984741211,4.2199997901916495,291.28938181818177,241,197,55
45.40999984741211,4.46999979019165,291.58035363636367,241,197,55
45.40999984741211,4.71999979019165,292.9212693939394,241,197,55
45.40999984741211,4.96999979019165,293.65923848484834,248,118,29
45.40999984741211,5.21999979019165,293.8327324242425,248,118,29
45.40999984741211,5.46999979019165,292.77428272727286,241,197,55
45.40999984741211,5.71999979019165,291.5599503030303,241,197,55
45.40999984741211,5.96999979019165,289.88545515151515,177,247,58
45.40999984741211,6.21999979019165,287.52484606060614,74,247,130
45.40999984741211,6.46999979019165,285.6392545454545,32,204,213
45.40999984741211,6.71999979019165,283.3796215151515,68,132,245
45.40999984741211,6.96999979019165,283.50716666666665,68,132,245
45.40999984741211,7.21999979019165,284.34573121212134,68,132,245
45.40999984741211,7.46999979019165,288.66824939393945,74,247,130
45.40999984741211,7.71999979019165,292.088103030303,241,197,55
45.40999984741211,7.96999979019165,294.2004148484848,248,118,29
45.40999984741211,8.220000267028809,295.20469454545463,203,46,5
45.40999984741211,8.470000267028809,295.70261242424243,203,46,5
45.40999984741211,8.720000267028809,296.6337239393938,203,46,5
45.40999984741211,8.970000267028809,296.8845648484848,203,46,5
45.40999984741211,9.220000267028807,297.3546533333334,122,4,3
45.40999984741211,9.470000267028807,297.0690057575758,122,4,3
45.40999984741211,9.720000267028807,296.9167015151515,203,46,5
45.40999984741211,9.970000267028807,296.8908918181819,203,46,5
45.40999984741211,10.220000267028807,296.76174575757574,203,46,5
45.40999984741211,10.470000267028807,296.8061439393939,203,46,5
45.40999984741211,10.720000267028807,296.6413490909091,203,46,5
45.40999984741211,10.970000267028807,296.5739257575758,203,46,5
45.40999984741211,11.220000267028807,296.31117818181815,203,46,5
45.40999984741211,11.470000267028807,296.7193699999999,203,46,5
45.40999984741211,11.720000267028807,297.57298878787867,122,4,3
45.40999984741211,11.970000267028807,297.45905727272725,122,4,3
45.65999984741211,0.9700000286102296,292.16125363636365,241,197,55
45.65999984741211,1.2200000286102295,291.91376969696967,241,197,55
45.65999984741211,1.4700000286102295,291.6704551515151,241,197,55
45.65999984741211,1.7200000286102295,290.9480590909091,177,247,58
45.65999984741211,1.9700000286102293,290.37916666666666,177,247,58
45.65999984741211,2.220000028610229,290.2127066666667,177,247,58
45.65999984741211,2.470000028610229,289.6445569696969,177,247,58
45.65999984741211,2.720000028610229,289.58193060606067,177,247,58
45.65999984741211,2.970000028610228,290.1104969696969,177,247,58
45.65999984741211,3.220000028610228,290.86613,177,247,58
45.65999984741211,3.470000028610228,290.95713060606056,177,247,58
45.65999984741211,3.7200000286102295,290.5185896969697,177,247,58
45.65999984741211,3.9700000286102295,291.20760575757566,241,197,55
45.65999984741211,4.2199997901916495,291.99343636363636,241,197,55
45.65999984741211,4.46999979019165,292.4208015151515,241,197,55
45.65999984741211,4.71999979019165,293.34042848484836,248,118,29
45.65999984741211,4.96999979019165,293.9270903030303,248,118,29
45.65999984741211,5.21999979019165,294.1953148484849,248,118,29
45.65999984741211,5.46999979019165,293.14784212121214,248,118,29
45.65999984741211,5.71999979019165,292.30233454545464,241,197,55
45.65999984741211,5.96999979019165,291.63315333333327,241,197,55
45.65999984741211,6.21999979019165,289.43469393939387,177,247,58
45.65999984741211,6.46999979019165,286.91361757575766,32,204,213
45.65999984741211,6.71999979019165,284.3207681818181,68,132,245
45.65999984741211,6.96999979019165,283.4054096969697,68,132,245
45.65999984741211,7.21999979019165,283.49324030303023,68,132,245
45.65999984741211,7.46999979019165,284.4631493939395,68,132,245
45.65999984741211,7.71999979019165,286.778133939394,32,204,213
45.65999984741211,7.96999979019165,289.34683666666666,177,247,58
45.65999984741211,8.220000267028809,292.2482260606061,241,197,55
45.65999984741211,8.470000267028809,294.7396327272727,248,118,29
45.65999984741211,8.720000267028809,295.76906242424235,203,46,5
45.65999984741211,8.970000267028809,295.78507030303035,203,46,5
45.65999984741211,9.220000267028807,295.70777848484863,203,46,5
45.65999984741211,9.470000267028807,295.1742587878788,203,46,5
45.65999984741211,9.720000267028807,294.36919363636366,248,118,29
45.65999984741211,9.970000267028807,293.7608272727272,248,118,29
45.65999984741211,10.220000267028807,293.56370787878785,248,118,29
45.65999984741211,10.470000267028807,293.5249184848485,248,118,29
45.65999984741211,10.720000267028807,293.91120666666666,248,118,29
45.65999984741211,10.970000267028807,293.82425333333333,248,118,29
45.65999984741211,11.220000267028807,293.6707954545456,248,118,29
45.65999984741211,11.470000267028807,293.9641242424242,248,118,29
45.65999984741211,11.720000267028807,295.1618069696969,203,46,5
45.65999984741211,11.970000267028807,296.47524636363636,203,46,5
45.90999984741211,0.9700000286102296,292.00775030303026,241,197,55
45.90999984741211,1.2200000286102295,291.69542666666666,241,197,55
45.90999984741211,1.4700000286102295,291.47650242424237,241,197,55
45.90999984741211,1.7200000286102295,290.83808545454553,177,247,58
45.90999984741211,1.9700000286102293,290.4807890909091,177,247,58
45.90999984741211,2.220000028610229,290.4613960606061,177,247,58
45.90999984741211,2.470000028610229,290.14618727272733,177,247,58
45.90999984741211,2.720000028610229,290.24323,177,247,58
45.90999984741211,2.970000028610228,290.95676303030314,177,247,58
45.90999984741211,3.220000028610228,291.58637151515137,241,197,55
45.90999984741211,3.470000028610228,291.68187272727266,241,197,55
45.90999984741211,3.7200000286102295,290.9804139393938,177,247,58
45.90999984741211,3.9700000286102295,291.7481051515151,241,197,55
45.90999984741211,4.2199997901916495,292.22323303030305,241,197,55
45.90999984741211,4.46999979019165,292.6968015151515,241,197,55
45.90999984741211,4.71999979019165,293.3919618181817,248,118,29
45.90999984741211,4.96999979019165,293.93438636363635,248,118,29
45.90999984741211,5.21999979019165,294.089576060606,248,118,29
45.90999984741211,5.46999979019165,292.85578242424236,241,197,55
